,discount%
0,30
1,25
3,17
6,10
16,5
17,31
25,4
31,19
33,10
37,25
40,6
44,20
45,7
47,2
49,10
51,13
52,12
53,32
55,8
58,0
59,6
60,3
61,5
62,30
65,7
66,24
68,16
69,20
70,34
71,25
72,16
74,17
76,25
77,10
78,8
79,20
80,11
84,14
85,0
89,24
93,0
94,0
95,14
96,8
97,5
105,15
106,0
108,38
109,10
110,18
111,8
112,33
114,33
118,22
128,30
131,0
135,24
137,20
141,16
144,40
149,35
152,5
157,40
158,20
161,18
163,5
164,10
165,6
170,25
171,4
174,14
175,13
177,23
181,30
182,16
184,15
186,20
188,16
190,24
191,6
195,20
196,0
198,22
201,15
208,22
209,7
210,33
212,17
216,24
217,6
218,0
223,14
224,7
225,27
226,15
227,15
230,0
244,33
257,14
259,37
260,38
264,0
266,23
270,28
271,10
276,5
278,33
282,14
285,11
287,13
288,22
289,0
291,0
293,21
295,25
297,0
298,21
299,0
300,6
301,7
302,4
307,0
308,0
309,8
310,15
311,25
317,0
322,20
325,22
326,16
331,3
332,16
333,18
334,5
335,3
336,11
346,0
350,25
353,0
354,26
355,20
357,6
359,15
370,6
371,0
372,20
380,16
381,25
386,14
387,7
398,25
404,0
405,15
408,10
409,4
410,20
413,25
415,10
421,14
422,0
423,12
424,39
425,25
426,14
430,0
431,5
437,7
442,37
443,0
444,12
445,10
447,14
448,0
449,0
451,16
457,0
458,3
459,20
460,5
461,7
462,16
470,20
471,0
473,14
474,8
475,16
480,0
482,18
484,0
485,24
487,9
488,5
489,20
491,12
493,18
495,4
500,6
501,11
503,40
505,7
506,16
507,14
508,12
510,25
511,12
513,25
514,13
515,16
516,0
517,22
518,40
520,8
521,15
523,6
525,34
527,33
530,5
534,7
541,20
543,26
546,16
549,18
552,4
553,0
555,8
557,10
559,26
560,5
562,33
563,5
564,12
565,8
566,10
567,13
570,0
573,20
574,40
576,7
579,13
582,0
583,15
585,14
586,6
587,5
589,4
590,4
591,8
595,2
596,11
598,0
603,17
608,4
611,33
612,6
614,12
617,20
620,24
621,0
624,16
625,30
627,3
636,8
637,6
638,14
640,20
643,6
644,25
646,40
647,18
649,14
654,20
655,7
656,14
659,19
661,16
665,40
666,16
671,4
674,14
677,0
678,7
683,6
685,20
692,0
695,14
696,15
701,7
703,6
704,6
706,3
708,17
711,16
714,13
715,10
716,12
718,1
719,33
722,26
723,6
724,6
725,7
726,21
727,5
728,4
730,9
733,23
734,4
735,24
736,16
737,16
739,10
740,17
742,20
746,15
747,8
748,33
751,15
752,7
753,6
754,24
755,4
756,0
758,15
760,16
762,11
763,5
764,5
766,6
769,0
773,4
774,0
775,20
776,2
778,13
779,8
780,11
784,5
791,8
792,13
793,6
797,17
800,13
801,0
802,5
803,35
806,5
808,8
809,7
811,16
813,23
814,20
816,10
827,4
830,7
831,30
832,16
833,28
838,25
840,8
844,20
848,7
850,5
853,21
854,7
855,6
857,0
858,28
859,13
860,10
863,19
867,20
868,0
869,0
874,4
875,0
878,15
879,14
880,30
883,8
886,8
888,8
889,0
890,38
891,8
894,0
896,25
904,18
906,14
911,10
912,26
913,0
914,10
917,21
920,0
921,10
922,20
924,8
925,20
927,20
930,12
931,12
934,16
937,2
941,3
944,5
947,4
951,40
952,20
953,12
954,6
955,18
956,20
957,6
958,0
959,11
962,12
964,10
966,17
967,25
969,20
970,30
974,7
978,20
981,27
986,11
987,16
989,20
998,20
1000,13
1001,5
1002,40
1005,20
1006,6
1007,12
1009,26
1011,0
1012,6
1013,12
1014,24
1015,16
1019,17
1022,14
1023,10
1025,0
1026,11
1028,33
1029,16
1030,0
1031,0
1032,11
1033,11
1034,39
1037,20
1038,31
1040,25
1043,0
1044,33
1045,16
1047,24
1048,33
1049,40
1050,8
1052,20
1053,22
1055,6
1057,5
1058,11
1061,0
1062,12
1064,28
1065,33
1067,4
1069,5
1071,0
1073,27
1074,7
1075,25
1077,20
1079,40
1083,2
1085,0
1086,28
1092,20
1093,0
1094,40
1096,26
1098,25
1100,15
1101,10
1104,7
1106,6
1110,4
1112,28
1113,44
1115,5
1118,12
1119,15
1121,28
1123,16
1128,26
1129,14
1130,22
1131,17
1134,20
1138,19
1139,5
1140,0
1142,4
1145,8
1149,17
1150,10
1152,13
1154,40
1156,4
1158,0
1159,28
1160,12
1162,30
1163,1
1164,19
1165,6
1166,16
1168,5
1169,20
1170,1
1172,15
1173,9
1175,5
1176,16
1177,0
1179,16
1182,14
1184,33
1187,0
1188,36
1189,23
1192,16
1195,0
1197,12
1198,0
1200,12
1201,30
1203,6
1204,10
1205,31
1206,40
1207,2
1211,21
1217,20
1220,0
1223,8
1224,20
1226,24
1227,33
1229,0
1231,3
1236,20
1237,12
1242,2
1243,34
1245,12
1247,6
1248,27
1250,24
1251,13
1254,11
1255,0
1259,16
1260,12
1262,8
1265,20
1266,5
1269,14
1270,0
1271,14
1272,5
1275,18
1276,8
1277,25
1278,6
1280,14
1281,0
1282,15
1283,20
1284,0
1286,20
1287,5
1290,16
1294,16
1295,15
1296,18
1297,15
1298,18
1302,31
1303,0
1307,20
1314,12
1315,1
1317,11
1318,14
1320,10
1321,0
1323,32
1326,16
1327,28
1329,40
1336,20
1338,13
1340,9
1341,6
1343,10
1346,24
1349,0
1351,6
1352,16
1358,0
1360,31
1361,30
1365,20
1366,21
1367,4
1368,25
1371,7
1372,15
1373,3
1374,10
1375,20
1376,0
1385,43
1387,20
1391,5
1392,3
1393,34
1396,20
1398,39
1404,16
1406,34
1407,5
1410,40
1411,24
1412,6
1414,32
1415,24
1417,0
1424,8
1426,23
1429,5
1431,23
1432,20
1433,37
1434,11
1435,38
1438,7
1439,21
1440,8
1441,9
1442,5
1443,23
1444,10
1445,40
1448,7
1449,24
1450,22
1451,0
1452,30
1454,10
1455,16
1456,18
1457,7
1459,17
1460,5
1461,8
1464,40
1465,0
1467,38
1469,8
1471,23
1473,0
1477,6
1479,30
1483,7
1484,15
1485,16
1486,0
1488,18
1489,3
1490,10
1491,1
1492,26
1494,10
1495,18
1496,0
1497,19
1498,8
1499,1
1500,14
1501,20
1503,6
1504,20
1505,16
1506,0
1507,0
1509,25
1510,17
1511,0
1512,40
1513,12
1514,12
1515,21
1516,11
1518,12
1519,10
1520,5
1522,17
1524,16
1525,16
1527,4
1528,20
1531,4
1535,17
1536,19
1537,4
1538,10
1540,20
1542,12
1543,2
1545,5
1546,11
1548,14
1549,0
1550,8
1551,37
1552,25
1553,8
1556,35
1557,3
1559,5
1560,40
1563,25
1566,0
1567,20
1569,23
1570,9
1575,9
1578,18
1583,0
1589,50
1590,13
1593,15
1599,12
1602,16
1603,50
1604,15
1605,13
1606,47
1607,16
1610,28
1613,5
1616,9
1618,0
1620,6
1621,6
1623,10
1626,10
1627,28
1629,4
1630,16
1631,0
1633,0
1635,5
1637,3
1640,10
1641,7
1642,22
1643,0
1644,11
1645,20
1646,20
1650,33
1653,28
1654,13
1655,21
1656,22
1659,25
1662,13
1667,30
1668,10
1669,28
1670,18
1671,13
1672,21
1673,0
1675,16
1677,7
1678,11
1684,8
1685,45
1692,13
1693,8
1694,15
1696,14
1704,0
1705,11
1706,4
1707,20
1710,38
1711,13
1713,28
1714,22
1715,17
1717,9
1719,16
1722,8
1723,3
1726,16
1728,7
1730,22
1731,14
1734,8
1735,22
1737,26
1738,25
1740,27
1741,22
1742,25
1743,8
1744,0
1745,20
1746,11
1747,23
1748,14
1750,5
1751,6
1754,3
1757,25
1758,20
1759,0
1760,12
1761,5
1762,20
1766,12
1769,19
1770,27
1771,14
1776,10
1781,0
1782,35
1783,0
1785,41
1788,1
1789,28
1793,9
1794,11
1795,0
1798,33
1799,5
1800,22
1801,5
1802,10
1806,5
1807,0
1809,18
1811,6
1814,23
1816,17
1820,32
1825,5
1827,16
1829,9
1832,21
1833,26
1834,33
1836,5
1841,23
1845,40
1846,40
1852,5
1855,18
1857,0
1858,25
1861,8
1865,16
1867,8
1868,20
1870,15
1871,26
1872,30
1873,0
1874,10
1875,30
1876,10
1877,25
1878,12
1879,9
1880,8
1881,10
1882,0
1883,1
1884,22
1886,0
1888,23
1890,0
1892,14
1894,9
1900,27
1902,25
1903,10
1904,12
1905,0
1908,33
1909,20
1910,6
1912,0
1913,14
1915,17
1917,30
1919,40
1923,41
1924,0
1925,20
1927,9
1933,47
1936,10
1939,8
1941,16
1942,5
1943,8
1944,36
1946,16
1947,10
1949,43
1950,10
1955,20
1959,5
1960,18
1961,6
1962,45
1963,27
1965,30
1966,21
1967,18
1968,6
1969,18
1970,25
1972,18
1973,28
1978,7
1980,0
1981,6
1983,8
1984,25
1985,25
1987,41
1988,12
1989,37
1991,0
1992,7
1994,30
1995,30
1996,30
1998,0
1999,0
2000,21
2003,24
2004,6
2006,25
2008,0
2009,0
2011,0
2014,16
2015,30
2016,11
2019,9
2020,12
2021,9
2022,11
2023,16
2024,22
2025,13
2029,27
2031,25
2034,30
2035,25
2036,37
2037,10
2039,6
2040,2
2042,33
2044,4
2046,18
2047,15
2048,9
2050,0
2053,18
2055,0
2057,6
2058,10
2060,10
2061,14
2063,50
2065,8
2066,14
2068,0
2069,5
2071,0
2072,20
2073,20
2075,10
2076,12
2077,50
2078,0
2080,2
2083,26
2085,6
2087,22
2089,0
2091,0
2094,4
2095,8
2100,44
2101,0
2103,20
2105,27
2108,20
2109,8
2110,5
2113,23
2116,4
2117,20
2120,12
2121,12
2123,3
2124,6
2128,16
2129,11
2130,9
2133,12
2134,14
2136,28
2137,0
2138,6
2139,40
2146,12
2147,20
2148,0
2149,27
2150,5
2151,26
2152,6
2154,14
2157,10
2158,7
2163,0
2166,20
2167,3
2168,49
2169,16
2172,6
2173,21
2175,50
2176,10
2177,14
2178,8
2180,20
2185,16
2186,0
2190,20
2191,21
2192,10
2194,25
2196,0
2197,20
2200,25
2202,26
2203,22
2209,27
2211,14
2214,12
2216,28
2220,6
2221,28
2222,23
2223,0
2226,10
2227,15
2229,25
2231,24
2232,15
2234,29
2235,8
2240,0
2242,0
2244,0
2247,50
2248,5
2249,0
2251,0
2252,23
2253,26
2256,5
