,0,1,2,3,4,5,6,7,8,9,10,11,12,discount%
0,intro,counter-price,counter-price,agree,,,,,,,,,,30.0
1,intro,disagree,counter-price,agree,agree,,,,,,,,,25.0
2,intro,inform,,,,,,,,,,,,
3,intro,counter-price,agree,,,,,,,,,,,17.0
4,intro,inquiry,counter-price,counter-price,,,,,,,,,,
5,intro,init-price,inform,counter-price,,,,,,,,,,
6,intro,inquiry,inquiry,init-price,counter-price,insist,,,,,,,,10.0
7,intro,inform,inform,inquiry,,,,,,,,,,
8,intro,init-price,,,,,,,,,,,,
9,intro,counter-price,counter-price,counter-price,,,,,,,,,,
10,intro,counter-price,counter-price,agree,,,,,,,,,,
11,intro,inquiry,counter-price,agree,,,,,,,,,,
12,intro,inquiry,counter-price,inquiry,inform,,,,,,,,,
13,intro,inform,init-price,inform,,,,,,,,,,
14,intro,disagree,counter-price,disagree,counter-price,disagree,,,,,,,,
15,init-price,counter-price,counter-price,,,,,,,,,,,
16,intro,inform,init-price,counter-price,counter-price,,,,,,,,,5.0
17,intro,init-price,counter-price,,,,,,,,,,,31.0
18,intro,counter-price,agree,,,,,,,,,,,
19,intro,inform,inform,init-price,,,,,,,,,,
20,intro,counter-price,counter-price,agree,,,,,,,,,,
21,intro,init-price,counter-price,inform,counter-price,counter-price,insist,,,,,,,
22,intro,init-price,counter-price,,,,,,,,,,,
23,intro,init-price,counter-price,,,,,,,,,,,
24,intro,disagree,inform,init-price,inquiry,inquiry,,,,,,,,
25,intro,counter-price,counter-price,,,,,,,,,,,4.0
26,intro,disagree,counter-price,inform,,,,,,,,,,
27,intro,inquiry,init-price,counter-price,inform,counter-price,,,,,,,,
28,intro,inquiry,disagree,counter-price,counter-price,disagree,insist,,,,,,,
29,intro,counter-price,counter-price,agree,,,,,,,,,,
30,intro,counter-price,counter-price,,,,,,,,,,,
31,intro,disagree,counter-price,counter-price,,,,,,,,,,19.0
32,intro,counter-price,agree,,,,,,,,,,,
33,intro,init-price,counter-price,,,,,,,,,,,10.0
34,intro,inquiry,inform,inform,counter-price,,,,,,,,,
35,intro,counter-price,counter-price,counter-price,insist,,,,,,,,,
36,intro,inform,inform,inform,inform,counter-price,,,,,,,,
37,intro,init-price,disagree,counter-price,,,,,,,,,,25.0
38,intro,init-price,inform,inquiry,,,,,,,,,,
39,intro,counter-price,agree,,,,,,,,,,,
40,intro,counter-price,counter-price,,,,,,,,,,,6.0
41,intro,disagree,disagree,init-price,counter-price,,,,,,,,,
42,intro,init-price,counter-price,inquiry,,,,,,,,,,
43,intro,init-price,disagree,counter-price,counter-price,agree,,,,,,,,
44,intro,counter-price,agree,,,,,,,,,,,20.0
45,intro,counter-price,counter-price,,,,,,,,,,,7.0
46,intro,init-price,inform,counter-price,,,,,,,,,,
47,intro,init-price,counter-price,disagree,inform,counter-price,inform,disagree,,,,,,2.0
48,intro,inquiry,inform,disagree,counter-price,counter-price,,,,,,,,
49,intro,counter-price,counter-price,counter-price,,,,,,,,,,10.0
50,intro,init-price,counter-price,,,,,,,,,,,
51,intro,disagree,counter-price,,,,,,,,,,,13.0
52,intro,disagree,counter-price,,,,,,,,,,,12.0
53,intro,inquiry,counter-price,,,,,,,,,,,32.0
54,init-price,counter-price,inform,counter-price,inform,,,,,,,,,
55,intro,disagree,counter-price,counter-price,counter-price,,,,,,,,,8.0
56,intro,counter-price,agree,,,,,,,,,,,
57,init-price,disagree,counter-price,counter-price,,,,,,,,,,
58,intro,counter-price,counter-price,agree,,,,,,,,,,0.0
59,init-price,inform,counter-price,,,,,,,,,,,6.0
60,intro,counter-price,inquiry,,,,,,,,,,,3.0
61,intro,inquiry,init-price,disagree,agree,,,,,,,,,5.0
62,intro,inquiry,init-price,agree,counter-price,,,,,,,,,30.0
63,intro,init-price,inquiry,inform,inform,counter-price,,,,,,,,
64,intro,init-price,inform,counter-price,disagree,counter-price,counter-price,,,,,,,
65,intro,inform,counter-price,inquiry,inquiry,,,,,,,,,7.0
66,intro,disagree,inform,disagree,counter-price,disagree,,,,,,,,24.0
67,intro,inform,disagree,inquiry,counter-price,inform,,,,,,,,
68,intro,disagree,disagree,counter-price,,,,,,,,,,16.0
69,intro,counter-price,counter-price,,,,,,,,,,,20.0
70,intro,init-price,counter-price,,,,,,,,,,,34.0
71,intro,init-price,disagree,inform,disagree,counter-price,counter-price,,,,,,,25.0
72,intro,counter-price,counter-price,inform,disagree,,,,,,,,,16.0
73,intro,counter-price,,,,,,,,,,,,
74,intro,init-price,inform,counter-price,counter-price,,,,,,,,,17.0
75,intro,inform,counter-price,counter-price,agree,,,,,,,,,
76,intro,disagree,disagree,counter-price,agree,,,,,,,,,25.0
77,intro,init-price,inform,counter-price,inquiry,,,,,,,,,10.0
78,intro,inform,counter-price,agree,,,,,,,,,,8.0
79,intro,inquiry,inform,inform,inform,inquiry,counter-price,,,,,,,20.0
80,intro,inform,inform,init-price,,,,,,,,,,11.0
81,intro,inquiry,counter-price,,,,,,,,,,,
82,intro,init-price,counter-price,,,,,,,,,,,
83,intro,inform,disagree,inquiry,counter-price,inquiry,,,,,,,,
84,intro,init-price,counter-price,counter-price,,,,,,,,,,14.0
85,intro,inform,inquiry,counter-price,agree,,,,,,,,,0.0
86,intro,disagree,counter-price,counter-price,,,,,,,,,,
87,intro,counter-price,counter-price,agree,,,,,,,,,,
88,intro,init-price,counter-price,agree,,,,,,,,,,
89,intro,init-price,counter-price,counter-price,,,,,,,,,,24.0
90,inquiry,inquiry,inquiry,inform,,,,,,,,,,
